system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00024] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
display  D   display_settings.c:191  debug_display_settings           [   0.04037] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04037] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.04038] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04038] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.04039] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04039] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04039] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04040] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04040] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04040] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.04041] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04041] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.04042] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04042] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.04042] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04043] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04043] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04044] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04044] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04044] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.04045] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04045] Score is : 593
